item,sentver,expected,sentence,cohort,rhyme,unrelated,stimulus
1,1,bat,The baseball player adjusted his grip and swung the heavy wooden bat.,bath,pat,mud,The baseball player adjusted his grip and swung the heavy wooden ____.
1,2,bat,The cricketer polished the surface of his willow bat.,bath,pat,mud,The cricketer polished the surface of his willow ____.
1,3,bat,"The cricket player wants his own glove, ball and bat.",bath,pat,mud,"The cricket player wants his own glove, ball and ____."
1,4,bat,"With bases loaded, he delivered a clutch hit with his trusty bat.",bath,pat,mud,"With bases loaded, he delivered a clutch hit with his trusty ____."
2,1,bug,The engineer pushed an update to patch the bug.,bus,rug,lack,The engineer pushed an update to patch the ____.
2,2,bug,Everything was running smoothly until a sudden crash revealed a critical bug.,bus,rug,lack,Everything was running smoothly until a sudden crash revealed a critical ____.
2,3,bug,The programmer stayed up all night trying to fix the mysterious software bug.,bus,rug,lack,The programmer stayed up all night trying to fix the mysterious software ____.
2,4,bug,The outdated system failed during a routine task caused by a software bug.,bus,rug,lack,The outdated system failed during a routine task caused by a software ____.
3,1,cake,"For her birthday, she asked for a chocolate cake.",cage,fake,hose,"For her birthday, she asked for a chocolate ____."
3,2,cake,She followed her grandmother's recipe to make a moist carrot cake.,cage,fake,hose,She followed her grandmother's recipe to make a moist carrot ____.
3,3,cake,The baker carefully decorated the three-tiered wedding cake.,cage,fake,hose,The baker carefully decorated the three-tiered wedding ____.
3,4,cake,"At the party, everyone gathered around to sing before cutting the cake.",cage,fake,hose,"At the party, everyone gathered around to sing before cutting the ____."
4,1,cat,She heard a meow and saw a small cat.,cap,hat,toy,She heard a meow and saw a small ____.
4,2,cat,"We thought we were adopting a guard dog, but ended up with a fluffy cat.",cap,hat,toy,"We thought we were adopting a guard dog, but ended up with a fluffy ____."
4,3,cat,The children left out a bowl of milk for the stray cat.,cap,hat,toy,The children left out a bowl of milk for the stray ____.
4,4,cat,"The fish tank needed a secure lid because of our curious, paw-dipping cat.",cap,hat,toy,"The fish tank needed a secure lid because of our curious, paw-dipping ____."
5,1,coat,"As the winter wind howled outside, she reached for her warm wool coat.",comb,goat,teeth,"As the winter wind howled outside, she reached for her warm wool ____."
5,2,coat,She forgot her umbrella but brought her rain coat.,comb,goat,teeth,She forgot her umbrella but brought her rain ____.
5,3,coat,"Before leaving in the snow, he put on his thick coat.",comb,goat,teeth,"Before leaving in the snow, he put on his thick ____."
5,4,coat,"It was freezing outside, so he zipped up his coat.",comb,goat,teeth,"It was freezing outside, so he zipped up his ____."
6,1,dish,"After finishing dinner, she carried the empty plate to the kitchen sink to wash the dish.",dip,fish,bear,"After finishing dinner, she carried the empty plate to the kitchen sink to wash the ____."
6,2,dish,"For the potluck, they each brought a different dish.",dip,fish,bear,"For the potluck, they each brought a different ____."
6,3,dish,The cooking show challenged contestants to prepare a signature dish.,dip,fish,bear,The cooking show challenged contestants to prepare a signature ____.
6,4,dish,The restaurant's specialty was a traditional Moroccan dish.,dip,fish,bear,The restaurant's specialty was a traditional Moroccan ____.
7,1,lid,Be careful when removing the hot saucepan's metal lid.,lip,bid,sun,Be careful when removing the hot saucepan's metal ____.
7,2,lid,"Designed to trap heat and prevent spills, the thermos won't keep your coffee hot without its insulated lid.",lip,bid,sun,"Designed to trap heat and prevent spills, the thermos won't keep your coffee hot without its insulated ____."
7,3,lid,The perfume evaporated because the bottle had a loose lid.,lip,bid,sun,The perfume evaporated because the bottle had a loose ____.
7,4,lid,Steam poured out as the boiling water lifted the teapot lid..,lip,bid,sun,Steam poured out as the boiling water lifted the teapot ____.
8,1,moon,The astronauts planted an American flag on the surface of the moon.,moose,noon,card,The astronauts planted an American flag on the surface of the ____.
8,2,moon,Last night we stayed up late to watch the crescent moon.,moose,noon,card,Last night we stayed up late to watch the crescent ____.
8,3,moon,The werewolf let out a terrifying howl at the sight of the moon.,moose,noon,card,The werewolf let out a terrifying howl at the sight of the ____.
8,4,moon,Ancient civilizations tracked the cycles of the waxing and waning moon.,moose,noon,card,Ancient civilizations tracked the cycles of the waxing and waning ____.
9,1,mud,"After the heavy rain, the children jumped gleefully in the thick brown mud.",mug,bud,web,"After the heavy rain, the children jumped gleefully in the thick brown ____."
9,2,mud,The pottery class started by kneading the damp clay-like mud.,mug,bud,web,The pottery class started by kneading the damp clay-like ____.
9,3,mud,"The day after a hard rainfall, the hiker slipped and fell face-first into the wet, sticky mud.",mug,bud,web,"The day after a hard rainfall, the hiker slipped and fell face-first into the wet, sticky ____."
